p0_rank,p1_rank,p0_odds,p1_odds,tourney_date,winner
17.0,84.0,1.5,2.62,2018-07-23,1.0
31.0,35.0,1.83,1.83,2015-09-21,1.0
2.0,54.0,1.14,5.5,2018-06-11,0.0
56.0,95.0,2.0,1.72,2008-10-20,0.0
46.0,333.0,1.53,2.37,2017-01-09,1.0
77.0,239.0,3.75,1.25,2018-12-31,1.0
46.0,85.0,1.61,2.25,2018-02-19,0.0
2.0,25.0,1.1,7.0,2012-08-06,0.0
34.0,62.0,2.1,1.66,2011-07-31,1.0
59.0,111.0,1.14,5.0,2007-07-09,1.0
7.0,41.0,1.12,6.0,2020-10-19,0.0
13.0,48.0,1.57,2.25,2010-10-25,0.0
28.0,93.0,1.14,5.0,2011-04-25,0.0
17.0,61.0,1.28,3.75,2020-09-28,0.0
43.0,123.0,1.16,5.0,2022-02-14,0.0
82.0,96.0,1.66,2.1,2008-03-27,1.0
28.0,56.0,3.0,1.36,2019-05-13,1.0
11.0,66.0,1.2,4.33,2014-09-15,0.0
24.0,212.0,1.33,3.25,2016-04-18,0.0
64.0,75.0,2.2,1.61,2019-02-25,0.0
8.0,87.0,1.2,4.5,2021-03-22,0.0
1.0,66.0,1.005,34.0,2016-05-23,0.0
65.0,94.0,4.33,1.2,2014-07-14,1.0
14.0,87.0,1.25,3.75,2016-01-04,0.0
46.0,74.0,1.38,2.87,2012-04-30,0.0
2.0,46.0,1.07,9.0,2017-03-06,0.0
47.0,144.0,1.4,2.75,2009-01-12,1.0
4.0,14.0,1.25,3.75,2015-08-10,0.0
33.0,64.0,1.9,1.8,2007-02-26,0.0
4.0,48.0,1.04,13.0,2012-05-27,0.0
103.0,166.0,1.12,6.0,2020-10-12,0.0
42.0,78.0,1.33,3.25,2010-05-09,0.0
27.0,69.0,1.66,2.1,2009-09-21,0.0
107.0,208.0,1.44,2.62,2014-07-07,1.0
57.0,130.0,1.22,4.0,2011-06-06,0.0
3.0,78.0,1.01,13.0,2008-08-25,0.0
34.0,101.0,1.44,2.62,2016-09-19,0.0
1.0,195.0,1.01,21.0,2022-05-23,0.0
63.0,102.0,1.36,3.0,2016-04-25,0.0
81.0,131.0,1.61,2.2,2008-04-28,1.0
8.0,16.0,1.33,3.25,2015-04-12,0.0
98.0,141.0,1.61,2.2,2010-07-05,0.0
6.0,26.0,1.36,3.0,2013-02-18,0.0
48.0,57.0,3.0,1.4,2016-06-27,1.0
7.0,13.0,2.62,1.44,2007-10-28,1.0
39.0,77.0,1.22,4.0,2013-04-22,0.0
26.0,198.0,1.3,3.5,2022-08-01,0.0
62.0,63.0,1.8,1.9,2015-02-16,1.0
29.0,169.0,1.3,3.5,2017-10-16,1.0
88.0,172.0,3.0,1.36,2013-08-26,1.0
50.0,202.0,1.44,2.62,2009-08-31,0.0
44.0,106.0,1.36,3.0,2018-03-05,0.0
27.0,46.0,1.3,3.5,2021-05-10,0.0
8.0,114.0,1.14,5.0,2010-05-24,1.0
11.0,37.0,1.14,5.5,2014-10-05,0.0
3.0,137.0,1.002,34.0,2015-05-24,0.0
3.0,51.0,1.005,21.0,2010-04-11,0.0
67.0,93.0,2.75,1.4,2019-09-23,1.0
11.0,99.0,1.07,7.5,2007-12-31,0.0
41.0,43.0,3.0,1.36,2008-07-28,0.0
34.0,46.0,1.57,2.25,2006-08-28,1.0
39.0,406.0,1.12,5.5,2006-05-01,0.0
29.0,88.0,1.8,1.9,2007-10-22,0.0
8.0,29.0,1.36,3.0,2007-10-22,1.0
34.0,83.0,1.4,2.75,2009-01-05,0.0
12.0,42.0,1.28,3.75,2021-03-22,0.0
16.0,44.0,1.61,2.2,2008-03-27,0.0
2.0,177.0,1.01,23.0,2021-02-08,0.0
14.0,82.0,1.06,10.0,2015-06-29,0.0
22.0,43.0,1.44,2.75,2018-05-07,1.0
10.0,82.0,1.11,6.0,2007-03-19,0.0
15.0,23.0,2.75,1.39,2006-05-15,1.0
2.0,3.0,1.11,6.5,2020-01-20,0.0
58.0,96.0,1.33,3.25,2019-02-04,0.0
45.0,112.0,3.0,1.36,2014-03-19,1.0
24.0,47.0,1.53,2.5,2022-05-16,1.0
23.0,121.0,1.66,2.1,2013-08-18,1.0
16.0,21.0,2.37,1.57,2022-05-23,0.0
54.0,146.0,1.72,2.0,2009-06-08,1.0
74.0,102.0,1.36,3.2,2022-08-22,1.0
9.0,219.0,1.05,9.0,2008-10-06,0.0
28.0,100.0,1.66,2.1,2018-02-19,1.0
72.0,124.0,1.36,3.0,2018-04-09,0.0
21.0,25.0,1.83,1.83,2013-05-12,1.0
10.0,81.0,1.4,2.75,2011-08-29,1.0
22.0,66.0,1.36,3.0,2008-10-06,1.0
36.0,113.0,1.33,3.4,2021-08-02,0.0
24.0,76.0,1.83,1.83,2020-02-24,1.0
11.0,42.0,1.33,3.25,2017-01-02,1.0
35.0,37.0,2.25,1.57,2014-02-24,1.0
73.0,97.0,1.3,3.4,2009-06-08,0.0
32.0,88.0,1.44,2.62,2017-10-16,1.0
9.0,52.0,1.4,2.75,2009-05-25,0.0
6.0,13.0,1.3,3.4,2006-05-15,1.0
78.0,125.0,1.4,2.75,2012-07-23,0.0
30.0,195.0,1.08,7.0,2008-06-23,0.0
44.0,135.0,1.36,3.0,2010-02-08,1.0
5.0,15.0,1.57,2.25,2011-10-09,0.0
74.0,117.0,1.57,2.25,2015-01-05,1.0
31.0,34.0,2.37,1.53,2019-08-12,0.0
54.0,161.0,1.33,3.25,2011-07-31,0.0
59.0,61.0,1.53,2.5,2021-05-17,0.0
21.0,41.0,1.44,2.62,2013-10-21,0.0
5.0,73.0,1.16,5.0,2014-10-27,0.0
30.0,84.0,2.25,1.57,2019-01-07,1.0
51.0,78.0,1.8,1.9,2010-01-11,1.0
7.0,10.0,1.66,2.2,2016-03-21,0.0
13.0,76.0,1.3,3.5,2020-08-31,1.0
41.0,48.0,1.8,2.0,2022-10-17,1.0
52.0,114.0,2.2,1.66,2016-05-09,0.0
1.0,11.0,1.12,6.0,2016-08-29,0.0
108.0,120.0,1.61,2.2,2019-02-25,0.0
90.0,311.0,1.22,4.0,2011-07-11,1.0
32.0,137.0,1.11,6.0,2009-08-31,0.0
67.0,279.0,2.25,1.57,2009-05-25,0.0
96.0,403.0,1.5,2.5,2011-07-04,0.0
53.0,59.0,1.33,3.25,2011-04-25,0.0
6.0,55.0,2.5,1.53,2007-03-19,1.0
37.0,57.0,1.61,2.2,2010-10-25,1.0
26.0,84.0,1.44,2.62,2020-09-14,1.0
9.0,347.0,1.08,7.0,2006-04-24,0.0
122.0,150.0,2.0,1.72,2017-07-31,1.0
61.0,138.0,1.18,4.5,2012-07-16,0.0
12.0,60.0,1.39,2.75,2006-10-23,0.0
5.0,16.0,1.57,2.37,2007-06-25,0.0
49.0,65.0,1.33,3.25,2016-02-22,1.0
6.0,33.0,1.57,2.37,2019-10-07,0.0
26.0,102.0,1.57,2.25,2015-05-24,0.0
4.0,5.0,1.1,7.0,2013-05-27,0.0
31.0,93.0,1.2,4.5,2019-05-27,0.0
14.0,65.0,1.72,2.0,2015-02-23,1.0
